amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-iba	order-item-id	is-prime
402-2043029-4059557	402-2043029-4059557	2026-09-03T16:34:45+00:00	2026-09-03T19:11:56+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Shipped	1	INR	360.0								SAWANTWADI	MAHARASHTRA	416510	IN		false				false	67289656774762	false
403-3701695-9518744	403-3701695-9518744	2026-09-03T15:32:20+00:00	2026-09-09T09:14:03+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Agarbatti - 240 Sticks (Pack of 2) | 100% Ayurvedic | DEET-Free | Safe for Kids & Pregnant Women | Low Smoke | Natura	8908006802319-FBA	B0D7MXTFB1		Shipped	1	INR	235.0								THANE	MAHARASHTRA	401107	IN		false				false	67287881283722	false
405-8750624-4081144	405-8750624-4081144	2026-09-03T15:32:09+00:00	2026-09-07T05:03:09+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Shipped	1	INR	360.0		40.0					40.0	MORBI	GUJARAT	363641	IN		false				false	67288471039122	false
405-6025809-7040330	405-6025809-7040330	2026-09-03T10:28:57+00:00	2026-09-03T18:26:21+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Agarbatti - 240 Sticks (Pack of 2) | 100% Ayurvedic | DEET-Free | Safe for Kids & Pregnant Women | Low Smoke | Natura	8908006802319-FBA	B0D7MXTFB1		Shipped	1	INR	235.0								Hoskote	KARNATAKA	562114	IN		false				false	67279580703362	false
406-0838542-3950731	406-0838542-3950731	2026-09-03T09:34:52+00:00	2026-09-03T11:34:58+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Den	Catche must-quit-o-insta- FBA	B077ZT3C14		Shipped	1	INR	260.0								udaipur	RAJASTHAN	313002	IN		false				false	67277506904762	false
403-2238511-0102702	403-2238511-0102702	2026-09-03T09:07:45+00:00	2026-09-06T13:16:56+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Agarbatti - 240 Sticks (Pack of 2) | 100% Ayurvedic | DEET-Free | Safe for Kids & Pregnant Women | Low Smoke | Natura	8908006802319-FBA	B0D7MXTFB1		Shipped	2	INR	470.0						47.0		MYSURU	KARNATAKA	570023	IN	BXGY-A3HOA2HYMHXFT1-BUY_2_GET_10_PERCENT-A21TJRUUN4KGV-06/04/2026	false				false	67278288308762	false
402-1325920-4997958	402-1325920-4997958	2026-09-02T22:53:54+00:00	2026-09-03T06:50:00+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Insta Mosquito Vaporizer - Ayurvedic Mosquito Repellent | 1 Machine + 2 Refills (45ml Each)	catche insta mosquito vapouriser	B08KXSSKSV		Shipped	1	INR	210.0								GURUGRAM	HARYANA	122505	IN		false				false	67266225891362	false
171-3764026-5047533		2026-09-02T17:35:13+00:00	2026-09-04T10:39:27+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel	SecondDay	Catche Ayurvedic Mosquito Trap Refill (35ml, Pack of 4) | Herbal & Insecticide-Free | Safe for Babies & Pregnant Women | Air-Purifying Mosquito Killer for Indoor Use	Catch-e Mosquito Trapper Liquid (35 ml,	B01CVDD26C	4	Shipped	1	INR	260.0	12.38							CHENNAI	TAMIL NADU	600042	IN		false			Easy Ship	false	67261162462362	true
402-3902991-8062728		2026-09-02T17:16:52+00:00	2026-09-05T08:44:29+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel	Standard	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Dengue & Malaria | Safe for Kids & Pregnant Women	Catche must-quit-o insta	B077ZT3C14	4	Shipped	1	INR	260.0	12.38							SALEM	TAMIL NADU	636010	IN		false			Easy Ship	false	67259714254162	true
404-2782425-8595532	404-2782425-8595532	2026-09-02T16:37:16+00:00	2026-09-03T04:12:49+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Den	Catche must-quit-o-insta- FBA	B077ZT3C14		Shipped	1	INR	0.0								HYDERABAD	TELANGANA	500097	IN		false				false	67258418620442	false
407-2185534-3999506	407-2185534-3999506	2026-09-02T15:33:24+00:00	2026-09-02T15:35:08+00:00	Cancelled	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Agarbatti - 240 Sticks (Pack of 2) | 100% Ayurvedic | DEET-Free | Safe for Kids & Pregnant Women | Low Smoke | Natura	8908006802319-FBA	B0D7MXTFB1		Cancelled	0										MARAIMALAINAGAR	TAMIL NADU	603209	IN		false				false	67256999664002	false
